"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1322165154268807168","https://twitter.com/dsunderhood/status/1322165154268807168","https://t.co/Y5Oezhv7ug","2020-10-30 13:15 +0000","2072.0","54.0","0.026061776061776062","2.0","0.0","0.0","10.0","0.0","0.0","25.0","0.0","0","0","0","0","0","402","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322165145595006983","https://twitter.com/dsunderhood/status/1322165145595006983","Власти задумываются о предотвращении контроля над AI компаниями со стороны других государств","2020-10-30 13:15 +0000","1717.0","14.0","0.008153756552125802","0.0","1.0","1.0","3.0","0.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322165144458244097","https://twitter.com/dsunderhood/status/1322165144458244097","Военные США продолжают применять технологии AI из академии и лабораторий","2020-10-30 13:15 +0000","615.0","6.0","0.00975609756097561","0.0","1.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322165143300616194","https://twitter.com/dsunderhood/status/1322165143300616194","Компании, производящие пролупроводники, продолжают набирать геополитическое влиение","2020-10-30 13:15 +0000","429.0","6.0","0.013986013986013986","0.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322165141987860482","https://twitter.com/dsunderhood/status/1322165141987860482","После нескольких ошибочных арестов с применением распознавания лица, вопрос этики стал подниматься более активно","2020-10-30 13:15 +0000","407.0","10.0","0.02457002457002457","0.0","1.0","2.0","0.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322165140855422977","https://twitter.com/dsunderhood/status/1322165140855422977","Приложения обработки естественного языка активно продолжают повсеместное применение. В том числе в поисковиках Google и Bing","2020-10-30 13:15 +0000","394.0","8.0","0.02030456852791878","0.0","1.0","1.0","1.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322165139655794688","https://twitter.com/dsunderhood/status/1322165139655794688","Google, Graphcore и NVIDIA продолжают лидировать в области оборудования для AI","2020-10-30 13:15 +0000","508.0","13.0","0.025590551181102362","0.0","1.0","2.0","0.0","0.0","0.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322164384366501889","https://twitter.com/dsunderhood/status/1322164384366501889","Километраж само-пилотируемых автомобилей все еще микроскопичен. При этом он подпитывается данными, которые открывают компании.","2020-10-30 13:12 +0000","538.0","9.0","0.016728624535315983","0.0","1.0","1.0","1.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322164383204708352","https://twitter.com/dsunderhood/status/1322164383204708352","Испытания первого лекарства, созданного с помощью AI, пройдут в Японии","2020-10-30 13:12 +0000","502.0","5.0","0.0099601593625498","0.0","1.0","1.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322164382038695939","https://twitter.com/dsunderhood/status/1322164382038695939","Экосистема США интенсивно наполняется за счет мигрантов, и в частности студентов из Китая","2020-10-30 13:12 +0000","430.0","3.0","0.0069767441860465115","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
